,n_1,avg_isovistArea_1,avg_area_1,n_2,avg_isovistArea_2,avg_area_2,n_3-4,avg_isovistArea_3-4,avg_area_3-4,n_5+,avg_isovistArea_5+,avg_area_5+,bld_type
0,16.0,92.9375,13.75,13.0,426.0769230769231,450.84615384615387,2.0,379.0,23.0,5.0,541.0,585.8,Mosques
1,64.0,188.046875,44.578125,16.0,7102.9375,106.375,3.0,235.66666666666666,30.0,12.0,10440.916666666666,3323.8333333333335,Mosques
2,42.0,183.78571428571428,5.857142857142857,54.0,175.94444444444446,16.38888888888889,17.0,325.1764705882353,41.94117647058823,17.0,2204.705882352941,3438.529411764706,Mosques
3,29.0,9644.896551724138,24.310344827586206,36.0,3239.3055555555557,27.63888888888889,6.0,3147.0,46.333333333333336,4.0,14044.25,4712.0,Mosques
4,3.0,22448.666666666668,743.0,0.0,0.0,0.0,1.0,850.0,1207.0,0.0,0.0,0.0,Mosques
5,11.0,289.6363636363636,30.272727272727273,2.0,40504.5,1518.5,0.0,0.0,0.0,1.0,935.0,207.0,Mosques
6,5.0,13164.6,264.6,2.0,201.0,17.0,1.0,162.0,87.0,2.0,420.0,169.0,Mosques
7,28.0,102.03571428571429,65.17857142857143,5.0,64.8,26.4,8.0,139.25,31.875,2.0,245.5,188.5,Mosques
8,41.0,451.8536585365854,30.926829268292682,20.0,518.9,57.35,18.0,507.3333333333333,197.27777777777777,10.0,1509.4,3564.2,Mosques
9,10.0,319.3,202.0,3.0,1358.0,2424.0,0.0,0.0,0.0,1.0,1052.0,357.0,Mosques
10,35.0,2294.457142857143,76.45714285714286,20.0,4436.4,90.95,10.0,877.0,107.7,9.0,14211.888888888889,2566.8888888888887,Mosques
11,1.0,705.0,124.0,6.0,181.83333333333334,63.5,1.0,191.0,8151.0,1.0,669.0,293.0,Mosques
12,4.0,384.75,68.25,16.0,132.5625,16.0,0.0,0.0,0.0,2.0,1201.0,2345.5,Mosques
13,0.0,0.0,0.0,3.0,25797.333333333332,983.0,1.0,3737.0,563.0,0.0,0.0,0.0,Mosques
14,0.0,0.0,0.0,13.0,331.3076923076923,72.0,5.0,2427.2,3714.8,1.0,13008.0,35121.0,Mosques
15,6.0,1562.6666666666667,286.0,2.0,47.0,20.0,1.0,26.0,55.0,2.0,201.0,161.0,Mosques
16,5.0,91.6,343.4,6.0,67.5,15.0,1.0,1.0,3.0,2.0,259.0,204.5,Mosques
17,33.0,57.0,289.030303030303,9.0,13.333333333333334,13.333333333333334,1.0,333.0,332.0,3.0,946.6666666666666,1024.3333333333333,Mosques
18,74.0,84.13513513513513,27.93243243243243,12.0,165.83333333333334,50.833333333333336,6.0,380.3333333333333,143.16666666666666,7.0,515.4285714285714,2444.0,Mosques
19,13.0,639.4615384615385,1167.3846153846155,14.0,404.85714285714283,62.357142857142854,4.0,413.5,62.25,3.0,1087.6666666666667,826.3333333333334,Mosques
20,15.0,92.33333333333333,93.6,12.0,58.0,58.0,6.0,67.16666666666667,67.16666666666667,4.0,736.25,1706.0,Monasteries
21,15.0,163.26666666666668,102.2,6.0,205.83333333333334,57.0,1.0,51.0,11.0,3.0,2060.0,5258.333333333333,Monasteries
22,27.0,437.6666666666667,85.62962962962963,21.0,1033.5714285714287,60.80952380952381,15.0,3754.2,167.8,6.0,1337.5,8990.166666666666,Monasteries
23,23.0,3080.7391304347825,57.26086956521739,7.0,267.14285714285717,58.714285714285715,2.0,108.0,106.5,7.0,2129.0,5928.285714285715,Monasteries
24,11.0,533.1818181818181,246.8181818181818,11.0,710.5454545454545,88.9090909090909,7.0,932.5714285714286,100.71428571428571,9.0,1759.4444444444443,5360.444444444444,Monasteries
25,17.0,71.23529411764706,73.6470588235294,8.0,26.0,26.0,4.0,495.75,1593.5,4.0,81.0,194.25,Monasteries
