,index_building,index_room,n_connections,area,isovistArea,building_type
0,0,0,2,4769,2268,Mosques
1,0,1,10,1363,719,Mosques
2,0,2,5,832,712,Mosques
3,0,3,2,415,435,Mosques
4,0,4,5,290,785,Mosques
5,0,5,2,282,100,Mosques
6,0,6,7,250,487,Mosques
7,0,7,19,194,2,Mosques
8,0,8,2,165,833,Mosques
9,0,9,2,59,205,Mosques
10,0,10,2,57,0,Mosques
11,0,11,2,46,93,Mosques
12,0,12,1,44,359,Mosques
13,0,13,2,25,59,Mosques
14,0,14,3,24,679,Mosques
15,0,15,1,24,27,Mosques
16,0,16,4,22,79,Mosques
17,0,17,1,11,85,Mosques
18,0,18,1,11,92,Mosques
19,0,19,1,11,154,Mosques
20,0,20,1,11,153,Mosques
21,0,21,1,11,53,Mosques
22,0,22,1,11,24,Mosques
23,0,23,1,11,69,Mosques
24,0,24,1,11,59,Mosques
25,0,25,2,11,96,Mosques
26,0,26,1,11,24,Mosques
27,0,27,1,11,97,Mosques
28,0,28,1,11,70,Mosques
29,0,29,2,11,53,Mosques
30,0,30,1,11,59,Mosques
31,0,31,1,10,82,Mosques
32,0,32,1,10,80,Mosques
33,0,33,2,8,21,Mosques
34,0,34,2,7,1361,Mosques
35,0,35,2,6,15,Mosques
0,1,0,10,23162,65078,Mosques
1,1,1,6,7508,46120,Mosques
2,1,2,11,6463,5676,Mosques
3,1,3,9,987,2190,Mosques
4,1,4,10,592,959,Mosques
5,1,5,2,569,575,Mosques
6,1,6,1,391,947,Mosques
7,1,7,1,322,305,Mosques
8,1,8,1,299,1489,Mosques
9,1,9,1,299,1488,Mosques
10,1,10,6,294,868,Mosques
11,1,11,2,273,1016,Mosques
12,1,12,2,262,3443,Mosques
13,1,13,22,233,1593,Mosques
14,1,14,1,187,472,Mosques
15,1,15,5,164,860,Mosques
16,1,16,2,151,1373,Mosques
17,1,17,2,151,1272,Mosques
18,1,18,1,150,100,Mosques
19,1,19,7,128,398,Mosques
20,1,20,5,121,344,Mosques
21,1,21,5,121,329,Mosques
22,1,22,9,113,876,Mosques
23,1,23,2,60,26396,Mosques
24,1,24,1,57,58,Mosques
25,1,25,1,57,55,Mosques
26,1,26,2,56,148,Mosques
27,1,27,1,56,58,Mosques
28,1,28,1,45,45,Mosques
29,1,29,1,42,56,Mosques
30,1,30,1,42,49,Mosques
31,1,31,4,40,317,Mosques
32,1,32,1,29,67,Mosques
33,1,33,1,27,809,Mosques
34,1,34,1,27,771,Mosques
35,1,35,1,27,744,Mosques
36,1,36,1,27,704,Mosques
37,1,37,3,25,196,Mosques
38,1,38,3,25,194,Mosques
39,1,39,2,24,209,Mosques
40,1,40,2,23,207,Mosques
41,1,41,2,23,209,Mosques
42,1,42,2,23,209,Mosques
43,1,43,1,23,24,Mosques
44,1,44,2,22,524,Mosques
45,1,45,2,21,42536,Mosques
46,1,46,1,21,83,Mosques
47,1,47,1,21,46,Mosques
48,1,48,1,21,46,Mosques
49,1,49,1,21,45,Mosques
50,1,50,1,21,56,Mosques
51,1,51,1,20,40,Mosques
52,1,52,1,20,43,Mosques
53,1,53,1,20,43,Mosques
54,1,54,1,20,43,Mosques
55,1,55,1,20,36,Mosques
56,1,56,1,20,37,Mosques
57,1,57,1,20,27,Mosques
58,1,58,1,20,25,Mosques
59,1,59,2,19,39,Mosques
60,1,60,1,19,38,Mosques
61,1,61,1,19,43,Mosques
62,1,62,1,18,90,Mosques
63,1,63,2,18,16853,Mosques
64,1,64,1,16,17,Mosques
65,1,65,1,16,17,Mosques
66,1,66,1,16,17,Mosques
67,1,67,1,16,17,Mosques
68,1,68,1,16,26,Mosques
69,1,69,1,16,26,Mosques
70,1,70,1,16,26,Mosques
71,1,71,1,16,26,Mosques
72,1,72,1,16,188,Mosques
73,1,73,1,16,188,Mosques
74,1,74,1,16,18,Mosques
75,1,75,1,16,79,Mosques
76,1,76,1,14,62,Mosques
77,1,77,1,14,23,Mosques
78,1,78,1,14,55,Mosques
79,1,79,1,14,54,Mosques
80,1,80,1,14,91,Mosques
81,1,81,1,14,88,Mosques
82,1,82,1,14,99,Mosques
83,1,83,1,14,98,Mosques
84,1,84,1,13,77,Mosques
85,1,85,1,13,81,Mosques
86,1,86,1,13,80,Mosques
87,1,87,1,13,70,Mosques
88,1,88,1,13,61,Mosques
89,1,89,1,13,68,Mosques
90,1,90,1,13,24,Mosques
91,1,91,1,13,22,Mosques
92,1,92,1,10,865,Mosques
93,1,93,1,7,490,Mosques
94,1,94,2,7,18638,Mosques
0,2,0,29,49259,21699,Mosques
1,2,1,13,3970,1953,Mosques
2,2,2,12,2547,2958,Mosques
3,2,3,13,883,893,Mosques
4,2,4,8,539,804,Mosques
5,2,5,10,227,363,Mosques
6,2,6,9,200,639,Mosques
7,2,7,3,189,160,Mosques
8,2,8,3,189,160,Mosques
9,2,9,10,167,431,Mosques
10,2,10,2,166,476,Mosques
11,2,11,8,151,241,Mosques
12,2,12,9,137,2835,Mosques
13,2,13,18,130,263,Mosques
14,2,14,13,107,876,Mosques
15,2,15,2,99,525,Mosques
16,2,16,5,86,3212,Mosques
17,2,17,4,69,2057,Mosques
18,2,18,3,57,60,Mosques
19,2,19,2,57,62,Mosques
20,2,20,2,42,73,Mosques
21,2,21,2,39,104,Mosques
22,2,22,2,39,59,Mosques
23,2,23,1,36,36,Mosques
24,2,24,4,28,803,Mosques
25,2,25,2,28,167,Mosques
26,2,26,1,27,3261,Mosques
27,2,27,3,27,27,Mosques
28,2,28,2,26,28,Mosques
29,2,29,4,26,863,Mosques
30,2,30,2,25,127,Mosques
31,2,31,2,25,185,Mosques
32,2,32,2,25,82,Mosques
33,2,33,3,25,78,Mosques
34,2,34,2,25,26,Mosques
35,2,35,2,25,54,Mosques
36,2,36,2,24,30,Mosques
37,2,37,1,18,1583,Mosques
38,2,38,3,17,51,Mosques
39,2,39,5,17,24,Mosques
40,2,40,4,17,19,Mosques
41,2,41,8,16,14,Mosques
42,2,42,3,14,532,Mosques
43,2,43,1,14,21,Mosques
44,2,44,1,13,58,Mosques
45,2,45,1,12,437,Mosques
46,2,46,3,12,13,Mosques
47,2,47,3,12,78,Mosques
48,2,48,7,12,43,Mosques
49,2,49,2,10,16,Mosques
50,2,50,2,10,35,Mosques
51,2,51,2,10,20,Mosques
52,2,52,2,10,35,Mosques
53,2,53,1,10,48,Mosques
54,2,54,3,10,12,Mosques
55,2,55,3,10,31,Mosques
56,2,56,2,10,55,Mosques
57,2,57,2,10,51,Mosques
58,2,58,2,10,48,Mosques
59,2,59,1,10,41,Mosques
60,2,60,2,10,66,Mosques
61,2,61,1,10,72,Mosques
62,2,62,1,9,44,Mosques
63,2,63,2,9,71,Mosques
64,2,64,2,9,58,Mosques
65,2,65,2,9,41,Mosques
66,2,66,2,9,176,Mosques
67,2,67,2,9,15,Mosques
68,2,68,2,9,610,Mosques
69,2,69,2,9,21,Mosques
70,2,70,2,9,22,Mosques
71,2,71,2,9,16,Mosques
72,2,72,2,9,487,Mosques
